gv,bv,pw,positive,negative
0,-60,0,[1 4.662588253268041e-05 0 0 0 0],[1.0027697499026544e-06 6.938157639524434e-07 3.7424504171212902e-06 0.0008790612919256091 0.09145508706569672 1]
0,-60,10,[0.8881622552871704 0.1118377298116684 0.0033102710731327534 0.0005515497759915888 1.0350625416322146e-05 0],[1.0847568319150014e-06 2.0024101104354486e-05 0.0013488404219970107 0.6278817057609558 0.3721183240413666 0.0008950593764893711]
0,-60,20,[0.6280599236488342 0.3719400465488434 0.013658156618475914 0.0019496746826916933 1.1821122825494967e-05 0],[6.795330023123825e-07 1.9681223420775495e-05 0.0023186278995126486 0.8657498359680176 0.13425008952617645 9.386217425344512e-05]
0,-60,30,[0.3190252482891083 0.6809747815132141 0.02722165361046791 0.003345516277477145 1.1207604075025301e-05 0],[6.731729058628844e-07 3.877688504871912e-05 0.0060516418889164925 1 0.06577134877443314 2.35265488299774e-05]
0,-60,40,[0.0499349907040596 0.9500649571418762 0.04895726218819618 0.004740177188068628 1.1234013982175384e-05 0],[7.774382879688346e-07 0.00010183364065596834 0.021657321602106094 1 0.0192597396671772 6.73635031489539e-06]
0,-60,50,[0.22687797248363495 0.7731220722198486 0.015803081914782524 0.001286168466322124 4.702304977399763e-06 0],[1.6956633999143378e-06 0.00014701149484608322 0.020888788625597954 1 0.023858612403273582 1.8808103050105274e-05]
0,-60,60,[0.0024207818787544966 0.9493516683578491 0.0506482869386673 0.01543581672012806 8.977438119472936e-05 1.8136220205633435e-06],[0.00018481435836292803 0.3481479585170746 0.506420910358429 0.14543114602565765 0.0008279582834802568 5.529574082174804e-06]
0,-60,70,[0.0025065187364816666 0.9246978163719177 0.07530221343040466 0.0168822780251503 6.752482295269147e-05 1.0622892432365916e-06],[4.3864896724699065e-05 0.034739840775728226 0.5083610415458679 0.49163898825645447 0.0018466657493263483 5.204752596910112e-06]
0,-60,80,[0.004321614280343056 0.9454237818717957 0.054576192051172256 0.016704941168427467 0.00011035323404939845 2.3356408291874686e-06],[0.00042228135862387717 0.1600305736064911 0.5475720763206482 0.2923973798751831 0.002649707021191716 1.692650403128937e-05]
0,-60,90,[0.01050424762070179 1 0.05361047759652138 0.01023599412292242 0.00011316593736410141 4.160464868618874e-06],[0.002923226449638605 0.6020529866218567 0.29178085923194885 0.10616614669561386 0.002374726813286543 3.871741137118079e-05]
0,-60,100,[1 0.012006295844912529 8.508973405696452e-05 2.5439019736950286e-05 1.8550722415966447e-06 0],[0.0029756699223071337 0.01754971593618393 0.05867335572838783 0.8798180222511292 0.06150861829519272 0.004869932774454355]
0,-70,0,[1 3.89677043131087e-05 0 0 0 0],[6.444179234676994e-07 4.50292560572052e-07 2.057544406852685e-06 0.00043473023106344044 0.07676544785499573 1]
0,-70,10,[0.9149552583694458 0.08504470437765121 0.0028019577730447054 0.0004942307132296264 1.0250156265101396e-05 0],[9.017493880492111e-07 1.291007356485352e-05 0.0007758897845633328 0.48994964361190796 0.5100504159927368 0.0015690872678533196]
0,-70,20,[0.6974431276321411 0.3025568723678589 0.011905044317245483 0.0017739706672728062 1.3003708772885147e-05 0],[6.455354082390841e-07 1.4867888239677995e-05 0.0014456550125032663 0.754651665687561 0.24534836411476135 0.00019617352518253028]
0,-70,30,[0.34189140796661377 0.6581085920333862 0.026700830087065697 0.003426092676818371 1.4147669389785733e-05 0],[6.778644774385612e-07 3.6443238059291616e-05 0.005603628698736429 1 0.0919165089726448 3.4204513212898746e-05]
0,-70,40,[0.1297757774591446 0.8702241778373718 0.047638632357120514 0.0053112986497581005 1.6883786884136498e-05 0],[5.58439921860554e-07 2.7488018531585112e-05 0.004177308175712824 1 0.09191542118787766 2.688067252165638e-05]
0,-70,50,[0.284148246049881 0.7158517241477966 0.01666022464632988 0.0014411836164072156 5.867161235073581e-06 0],[1.0642648931025178e-06 5.2218187192920595e-05 0.007221809588372707 1 0.06350621581077576 4.137864016229287e-05]
0,-70,60,[0.009496133774518967 0.9394452571868896 0.06055477261543274 0.01270345039665699 3.5313940315973014e-05 4.698511020251317e-07],[2.2074802927818382e-06 0.00035909522557631135 0.04869259521365166 1 0.01742534339427948 1.1659798474283889e-05]
0,-70,70,[0.0018791654147207737 0.9095975756645203 0.09040243178606033 0.032146308571100235 0.00028798647690564394 5.98833412368549e-06],[0.000740505987778306 0.5034405589103699 0.3867588937282562 0.10980051755905151 0.001346110599115491 1.2995403267268557e-05]
0,-70,80,[0.005785317160189152 0.9439130425453186 0.056086912751197815 0.01822895184159279 0.0001387757802149281 2.9206942144810455e-06],[0.00014654587721452117 0.05910955369472504 0.47162628173828125 0.5283737182617188 0.0044048624113202095 1.9024866560357623e-05]
0,-70,90,[0.014968113042414188 1 0.052994657307863235 0.009971484541893005 0.0001113801627070643 4.0339582483284175e-06],[0.0011393039021641016 0.24454815685749054 0.4449394941329956 0.31051239371299744 0.005673639941960573 6.78661817801185e-05]
